상호명,소재지,1등 당첨 회차,1등 횟수,2등 당첨 회차,2등 횟수,LATITUDE,LONGITUDE
월드마켓,서울 은평구 불광로 28 시장내 18호,,0,861 975,2,37.610474,126.929182
씨스페이스 역촌점,서울 은평구 갈현로 88 1층 우측 두번째 점포,474 474 474 474 474 831,6,387 630 829 956 1058,5,37.605751,126.910725
만물사,서울 중구 남대문로 2,,0,405 657 758 1054,4,37.560069,126.97622
윈윈스토어&&#35;40;win win store&&#35;41;,서울 중랑구 겸재로 122,835,1,472 548 741 757 830 937 1087 1135,8,37.58679,127.081323
도곡 행운로또방,서울 강남구 도곡로4길 11 102호,,0,537 996,2,37.489311,127.033694
몽유호가&&#35;40;夢有好家&&#35;41;,서울 강동구 올림픽로 552 1층5호,1084,1,473 528 588 716 990 1044 1141,7,37.530837,127.121028
우이담배가게,서울 강북구 삼양로 371-1,,0,437 552 554 572 606 674 786 831 841 978 990,11,37.636634,127.017038
정원복권방,서울 도봉구 도봉로 468 1층 101-3호,374 743 1064,3,302 329 386 445 455 474 501 564 574 727 734 837 890 892 916 927 942 942 970 973 1018 1063 1131,23,37.64732,127.034377
행운복권방,서울 도봉구 노해로63길 79 우림빌딩 112호,604 727 836 900 1042 1114,6,406 568 662 682 710 769 788 907 955 968 986 1000 1004 1025 1089 1114 1122,17,37.653081,127.046304
세븐로또,서울 동대문구 고산자로29길 6,,0,477 584 607 624 688 757 922 1081,8,37.576166,127.03779
세명복권,서울 마포구 월드컵북로7길 26 1호,,0,618 792 831 941,4,37.557952,126.916535
대박복권방,서울 성북구 동소문로 86-21,461,1,447 634,2,37.591442,127.015219
1등복권방,서울 강북구 삼양로 252,433 777,2,342 350 354 473 632 633 901 980 1082 1116 1120,11,37.62585,127.018451
센타포인트명동앞복지가판점,서울 중구 남대문로 84 앞 가판점,469,1,425 531 531 575 690 779 784 830 834 844 941 1112,12,37.564681,126.98284
종합가판제141호,서울 중구 퇴계로 447 황학 아크로타워,900,1,629 695 732 797 849 991 1035 1109,8,37.566042,127.021722
가로판매점117호,서울 중구 장충단로 257,314 530,2,,0,37.567609,127.008478
상호없음,서울 중구 다산로 109-1 가판점,,0,572 751 1079,3,37.553699,127.009878
가판점,서울 중구 을지로 193-1,,0,482 694 953 956,4,37.566836,126.999518
종로3가1호선역2번출구가로판매점82호,서울 종로구 돈화문로 23 가판,429 500 633 667 1088,5,281 308 360 453 464 493 495 508 545 552 591 640 666 707 755 774 799 832 832 881 912 926 933 965 984 985 990 995 1019 1021 1022 1027 1057 1065 1111 1122 1134 1135,38,37.570703,126.991875
가로판매대,서울 종로구 통일로 156-1,802 802 802,3,526 569 600 1076 1118,5,37.568185,126.964666
가야복권방,서울 종로구 통일로 246-10 1층 103-1호,,0,805,1,37.575371,126.960779
동대문1번출구앞가로가판점&&#35;40;65호&&#35;41;,서울 종로구 종로 301,,0,264 411 479 624 694 887 918 944,8,37.572005,127.01114
상호없음,서울 종로구 새문안로 103-1,1059,1,429 516 642 687 688 838 1050 1079,8,37.57048,126.976178
SK텔레콤종로지점앞가판대,서울 종로구 우정국로 6 SK텔레콤종로지점 앞 가판대,,0,616 752 863 865,4,37.569374,126.983216
신사우리가판,서울 강남구 강남대로 620,745 1140,2,345 483 527 618 888 1028 1028 1028 1028 1028 1094,11,37.51676,127.020049
버스표판매소,서울 강남구 압구정로 151-2 신현대9차 상가1동 출입구 앞,,0,745 932 1091,3,37.526213,127.024455
선릉가판점,서울 강남구 선릉로 519,354,1,415 474 547 650 667 784 1069,7,37.505876,127.048007
버스표판매소,서울 강남구 논현로 837,1112,1,338 618 1070,3,37.523232,127.027919
가로판매대&&#35;40;구&&#35;41;-3,서울 강남구 압구정로 201,,0,544 922 1064,3,37.529649,127.030805
행복편의점,서울 구로구 구로중앙로 14,745 907,2,1122,1,37.491585,126.892279
버스토큰판매소,서울 구로구 시흥대로 577 구로디지털단지 6번출구앞 가판점,658 853 914,3,439 439 465 542 593 659 691 838 905 970 1010 1015 1016 1063 1094 1132,16,37.48444,126.902251
교통카드판매대,서울 구로구 경인로 661,545,1,360 541 579 626 694 707 813 948 1069,9,37.509409,126.887719
가판점,서울 구로구 경인로3길 지하 64,429,1,346 406 576 619 820 952 954 979 1034 1062 1103 1135,12,37.491359,126.821405
종합가판점,서울 구로구 가마산로 245 구로구청 앞 버스정류장 앞 가로매점,1118,1,331 586 795 859,4,37.49528,126.88763
서울구가-17가판,서울 구로구 구로동로 130-2 구로4동우체국앞가판,318 901 1014 1106 1118,5,375 512 590 659 811 894 907 919 986 1034 1057 1061 1129 1129 1144,15,37.490325,126.884395
버스토큰판매소,서울 구로구 경인로 323,323,1,289 466 491 626 789 961,6,37.497648,126.856162
